specimen__id,line_name,ef__vrest,ef__tau,ef__ri,ef__threshold_i_long_square,ef__f_i_curve_slope,population_group
487447111,Cux2-CreERT2,-76.06369019,24.93283882,164.3750072,90,0.111904768,Exc_S
485909730,Cux2-CreERT2,-76.9283905,20.56776746,213.1249607,70,0.25,Exc_S
502359001,Cux2-CreERT2,-83.51786804,13.23954864,76.8750757,150,0.163157898,Exc_S
516916566,Cux2-CreERT2,-69.76524353,25.8046261,353.7498713,29.99999809,0.290322579,Exc_S
487352877,Cux2-CreERT2,-71.43305969,4.704208168,62.65636533,310,1.220918417,Exc_S
486776965,Cux2-CreERT2,-80.31943512,17.17973067,125.7812083,160,0.124416426,Exc_S
513510227,Cux2-CreERT2,-78.18148804,20.65213358,74.99988377,190,0.02308411,Exc_S
487659462,Cux2-CreERT2,-73.3546524,24.7563297,192.1871156,80,0.21172142,Exc_S
487445455,Cux2-CreERT2,-77.02668762,18.15173423,177.9687554,130,0.194791678,Exc_S
486262299,Cux2-CreERT2,-79.32460785,13.50205926,60.69701165,490,0.03481012,Exc_S
521958756,Cux2-CreERT2,-74.23861694,27.12066722,183.2811385,90,0.28219697,Exc_S
487358945,Cux2-CreERT2,-77.83813477,22.38129423,151.562646,130,0.002463192,Exc_S
485955227,Cux2-CreERT2,-76.13742065,17.1019391,164.2187834,130,0.096973779,Exc_S
521399472,Cux2-CreERT2,-79.14630127,19.29626468,87.18746156,190,0.121205358,Exc_S
521625948,Cux2-CreERT2,-84.11875153,9.235000341,72.656326,210,0.100673226,Exc_S
505200218,Cux2-CreERT2,-73.59854126,18.56210892,153.1247944,90,0.127651515,Exc_S
486239338,Cux2-CreERT2,-78.41603851,20.44313372,171.2500453,110,0.151875008,Exc_S
485954440,Cux2-CreERT2,-73.31303406,18.9256658,162.3437852,90,0.166977619,Exc_S
485958978,Cux2-CreERT2,-74.21052551,18.97629033,127.8125048,150,0.033669122,Exc_S
483101699,Cux2-CreERT2,-78.13226318,15.21713024,117.9686338,150,0.127967101,Exc_S
484515166,Cux2-CreERT2,-70.36206055,18.09592835,161.2500101,110,0.196097862,Exc_S
501022658,Cux2-CreERT2,-77.8194809,14.53659353,80.46886325,310,0.052375218,Exc_S
515949222,Cux2-CreERT2,-75.78450775,15.63472063,167.0312434,110,0.223126011,Exc_S
486106720,Cux2-CreERT2,-79.03540802,19.3543002,184.0625852,110,0.188541684,Exc_S
483099796,Cux2-CreERT2,-72.98851776,27.61657331,208.9062482,70,0.179113936,Exc_S
485911966,Cux2-CreERT2,-64.3289032,22.32452031,232.812494,50,0.214566476,Exc_S
483019067,Cux2-CreERT2,-69.37319183,13.2480859,109.2188656,170,0.069642844,Exc_S
485912047,Cux2-CreERT2,-73.62293243,23.43335604,177.0312935,80,0.171405456,Exc_S
505500191,Cux2-CreERT2,-65.49472046,21.56335684,259.375006,90,0.240909091,Exc_S
521938313,Cux2-CreERT2,-75.39405823,27.19688304,243.7498868,110,0.271845145,Exc_S
480718588,Rbp4-Cre_KL100,-77.56826019,18.74811274,180.468753,90,0.129289952,Exc_M
490916919,Rbp4-Cre_KL100,-68.02027893,25.79001161,121.6346473,200,0.087722125,Exc_M
477862382,Rbp4-Cre_KL100,-58.30952454,45.36109181,436.7188811,30.00000191,0.170120899,Exc_M
515511110,Rbp4-Cre_KL100,-67.62136078,30.7516701,258.2813501,70,0.125284091,Exc_M
486191673,Rbp4-Cre_KL100,-70.0331955,28.75723031,241.5623516,90,0.028073639,Exc_M
515524026,Rbp4-Cre_KL100,-59.08707809,39.86198199,356.2499583,29.99999809,0.189784946,Exc_M
486176465,Rbp4-Cre_KL100,-77.81387329,25.78794583,173.124969,90,0.154196438,Exc_M
477930684,Rbp4-Cre_KL100,-66.19934845,22.5543012,154.2188227,70,0.118261921,Exc_M
480714960,Rbp4-Cre_KL100,-71.81384277,14.59862199,160.937503,290,0.239843847,Exc_M
486054618,Rbp4-Cre_KL100,-79.62861633,18.8083276,88.43746036,410,0.014285722,Exc_M
490790207,Rbp4-Cre_KL100,-70.70323944,12.35535378,97.18738496,140,0.198890328,Exc_M
490576429,Rbp4-Cre_KL100,-75.21587372,14.40142856,113.750115,190,0.134374992,Exc_M
488359338,Rbp4-Cre_KL100,-78.66729736,17.30121481,148.4375447,210,0.037873131,Exc_M
325919795,Rbp4-Cre_KL100,-77.1006546,21.87997083,254.0625036,70,0.235501066,Exc_M
485834744,Rbp4-Cre_KL100,-77.66227722,23.22833839,146.4062482,110,0.206060632,Exc_M
485956826,Rbp4-Cre_KL100,-67.72437286,24.80419496,339.0625715,40,0.316355653,Exc_M
488117124,Rbp4-Cre_KL100,-79.88066101,24.24221311,137.9687488,130,0.165981021,Exc_M
471141261,Rbp4-Cre_KL100,-78.79210663,14.5823818,91.25000238,209.9999847,0.159429314,Exc_M
485574832,Rbp4-Cre_KL100,-71.45566559,13.27194478,80.31257987,190,0.193605868,Exc_M
490931049,Rbp4-Cre_KL100,-67.0109787,29.31237497,278.9062858,30.00000191,0.29114907,Exc_M
485574721,Rbp4-Cre_KL100,-77.24940491,22.45411604,113.2812575,110,0.119642863,Exc_M
490772223,Rbp4-Cre_KL100,-80.28017426,11.50261634,69.21879202,370,0.155555595,Exc_M
490612844,Rbp4-Cre_KL100,-75.34287262,21.47952259,170.6250459,150,0.090079367,Exc_M
508566646,Rbp4-Cre_KL100,-77.04734039,24.41053862,178.437531,90,0.160416667,Exc_M
485577686,Rbp4-Cre_KL100,-76.09506989,19.96245365,82.4553445,209.9999847,0.056064348,Exc_M
479711015,Rbp4-Cre_KL100,-72.16201782,20.27025713,162.3437554,150,0.074218754,Exc_M
479150681,Rbp4-Cre_KL100,-75.74929047,24.89471479,237.6562953,60.00000381,0.282712786,Exc_M
485608017,Rbp4-Cre_KL100,-79.95320129,17.60319118,144.5312202,170,0.139383318,Exc_M
501839495,Rbp4-Cre_KL100,-77.2467804,15.98478474,111.7187887,170,-0.015048323,Exc_M
485610263,Rbp4-Cre_KL100,-70.97664642,18.39844755,118.7500805,100,0.154432635,Exc_M
571379222,Pvalb-IRES-Cre,-75.56083679,4.690302466,64.21886384,330,0.799287653,Inh_PV
485640247,Pvalb-IRES-Cre,-70.58676147,6.709682717,119.3749681,170,0.426369899,Inh_PV
481018305,Pvalb-IRES-Cre,-76.31461334,8.016993053,67.90868193,300,0.722016363,Inh_PV
475549284,Pvalb-IRES-Cre,-75.12535095,11.58818786,95.98214179,209.9999847,0.664687481,Inh_PV
484742372,Pvalb-IRES-Cre,-75.96366882,5.654737917,128.9061755,170,0.916071428,Inh_PV
570089080,Pvalb-IRES-Cre,-73.69101715,10.73005703,151.7188251,290,0.159467865,Inh_PV
330154280,Pvalb-IRES-Cre,-72.25507355,9.140125886,197.968781,170,2.01567567,Inh_PV
321704734,Pvalb-IRES-Cre,-76.2554245,7.59910991,137.500003,210,0.692857121,Inh_PV
320421014,Pvalb-IRES-Cre,-77.07080841,6.335945987,98.2812494,370,2.75942675,Inh_PV
481096407,Pvalb-IRES-Cre,-66.31970978,10.171983,235.1560593,150,0.966250045,Inh_PV
322520586,Pvalb-IRES-Cre,-83.38054657,5.739074814,82.81249553,270,0.764195251,Inh_PV
